Date,regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3,regime
2022-06-27,0.9444181612827849,3.1899440379042714e-43,0.05558183844588812,2.7215168610366955e-10,0
2022-06-28,0.9813437633076585,2.755870461506901e-43,0.018656236652101952,4.01516669359791e-11,0
2022-06-29,0.9954543886435545,8.37095524694673e-44,0.0045456113509796114,6.033979240578397e-12,0
2022-06-30,0.9985274348732956,5.632219495445594e-46,0.0014725651230515053,3.896339871203849e-12,0
2022-07-01,0.9996197203034215,1.3004099235736413e-41,0.0003802796369288685,6.002740817393721e-11,0
2022-07-05,0.9998072545517946,9.798026259987335e-42,0.00019274541749477958,3.0850056390176043e-11,0
2022-07-06,0.9998833833896689,1.4815881544189876e-39,0.00011661633210890804,2.7812993709679e-10,0
2022-07-07,0.9998461061944632,1.0371393032523911e-38,0.00015389367087828703,1.3545553373664222e-10,0
2022-07-08,0.9999572198559319,6.801057299925323e-32,4.253599860779448e-05,2.441459717824183e-07,0
2022-07-11,0.9999275956908333,9.091469113022232e-33,7.238993808717882e-05,1.4371006133895901e-08,0
2022-07-12,0.999888702301567,1.2220543504747705e-37,0.00011129727750951784,4.210913753084864e-10,0
2022-07-13,0.9999138277130769,7.622971760115171e-38,8.617138154416951e-05,9.056540338646853e-10,0
2022-07-14,0.9999276973158748,2.949918793955172e-36,7.230013486171662e-05,2.5493663813331594e-09,0
2022-07-15,0.9998892997077836,4.016736085683661e-33,0.00011068974595119434,1.0546841970872601e-08,0
2022-07-18,0.9999325667958896,1.6342282230040104e-31,6.732230296838975e-05,1.1090110231852777e-07,0
2022-07-19,0.999652795723571,6.214058944550492e-35,0.00034720391585925744,3.614077856764505e-10,0
2022-07-20,0.9999495632496764,4.981189085985023e-30,4.986894735005036e-05,5.678023503387999e-07,0
2022-07-21,0.9999575382655504,7.476931819018025e-25,4.064201599639449e-05,1.819719298015088e-06,0
2022-07-22,0.9999360781061138,7.582407046668715e-23,3.878323931753299e-05,2.513865459452039e-05,0
2022-07-25,0.9999640076841356,3.03822924741047e-23,3.172953971856564e-05,4.2627770360139195e-06,0
2022-07-26,0.9999452522641616,3.994128200495578e-27,5.4064690237274085e-05,6.830450611638728e-07,0
2022-07-27,0.9998041917250465,1.0811337088611453e-29,0.00019578734497589063,2.0929472254971475e-08,0
2022-07-28,0.9999383891489761,1.5852701971030956e-24,5.440984430435047e-05,7.201007403589683e-06,0
2022-07-29,0.9999025474093053,3.44368782917637e-20,5.6879713562118534e-05,4.0572877844416005e-05,0
2022-08-01,0.9999448149831371,2.974013974464327e-21,3.2350393260766955e-05,2.2834623997995e-05,0
2022-08-02,0.9999617461057928,6.528626211319235e-24,3.5364621914905624e-05,2.889272479146505e-06,0
2022-08-03,0.9999301578662123,4.830136386909927e-21,5.7664096934224836e-05,1.2178037081032005e-05,0
2022-08-04,0.9992968901921043,1.4666001862523962e-16,3.923993343979265e-05,0.0006638698740450411,0
2022-08-05,0.9980832372496008,4.072808868585213e-14,4.205938451597438e-05,0.0018747033655202886,0
2022-08-08,0.99655766202251,1.0279497847686648e-13,4.0077383792494004e-05,0.0034022605933865225,0
2022-08-09,0.9918376821054934,5.949742768723271e-14,4.0629531903005494e-05,0.008121688361748527,0
2022-08-10,0.9633596518192545,6.832309563556209e-13,0.00011535634853568614,0.036524991831961624,0
2022-08-11,0.7828276430868617,1.2632180327589296e-10,4.8192708383305494e-05,0.2171241640780861,0
2022-08-12,0.6951648504699579,1.5123282769346442e-10,6.300054607977721e-05,0.3047721488325738,0
2022-08-15,0.5233319713745666,1.4242338308842448e-09,3.0329552030653947e-05,0.47663769764832026,0
2022-08-16,0.43661924247720374,6.31449571724117e-09,3.180999049061835e-05,0.5633489412173962,0
2022-08-17,0.42217023446653906,5.1183388999242075e-09,4.041352436574978e-05,0.5777893468907181,0
2022-08-18,0.46472668773171755,6.455992994628399e-09,3.9753729278093545e-05,0.535233552082736,0
2022-08-19,0.662064243515074,2.8216191699185243e-12,7.256272319726146e-05,0.33786319375915935,0
2022-08-22,0.9980647223388561,2.0404083931608475e-20,0.0001069986214387659,0.0018282790397180827,0
2022-08-23,0.9999617990090771,9.574451685696155e-23,3.533283799328199e-05,2.8681520381401588e-06,0
2022-08-24,0.9999551141715045,1.675787656857549e-22,3.336032611891188e-05,1.152550171925924e-05,0
2022-08-25,0.999895523648931,1.2809058394764797e-21,8.858225771524144e-05,1.589409400846318e-05,0
2022-08-26,0.999367147458022,8.597273957053976e-32,0.0006327769987861983,7.554306848232138e-08,0
2022-08-29,0.9998965965738007,1.6868492044513537e-33,0.00010339592974953891,7.495942864330178e-09,0
2022-08-30,0.9999274561990082,2.1043398329095686e-34,7.25315425471613e-05,1.225835419998652e-08,0
2022-08-31,0.9999436497216583,3.471195697702246e-33,5.632780361336189e-05,2.247443371284352e-08,0
